Date,Open,High,Low,Close,Volume
11/18/2022,106.67,108.04,106.3,107.23,"1,161,218"
11/21/2022,107.81,108.98,107.08,107.24,"907,733"
11/22/2022,107.34,108.78,107.1,107.42,"961,723"
11/23/2022,107.4,107.55,106.1,106.11,"721,845"
11/25/2022,106.82,108.37,106.12,108.01,"437,860"
11/28/2022,107.24,108.76,106.93,107.46,"1,163,606"
11/29/2022,106.88,107.49,106.05,106.07,"1,123,004"
11/30/2022,105.83,106.97,105.29,106.4,"2,101,541"
12/1/2022,107,107.07,106.16,106.88,"882,989"
12/2/2022,106.67,109.36,106.67,108.44,"1,187,628"
12/5/2022,107.48,108.15,106.55,107.51,"657,272"
12/6/2022,107.42,107.83,106.04,107.61,"937,840"
12/7/2022,107.57,108.56,106.16,106.25,"729,914"
12/8/2022,106.83,107.65,105.53,106.26,"549,932"
12/9/2022,106.41,106.43,104.81,104.83,"421,735"
12/12/2022,104.75,105.25,104.28,105.07,"514,334"
12/13/2022,105.96,106.48,103.89,104.41,"1,188,887"
12/14/2022,104.87,106.06,103.86,105.8,"962,267"
12/15/2022,104.98,105.38,103.35,104.23,"1,018,617"
12/16/2022,104,104.26,102.88,103.92,"1,688,488"
12/19/2022,103.81,104.99,102.81,103.63,"670,196"
12/20/2022,103.82,105.04,103.43,103.65,"516,723"
12/21/2022,104.12,105.17,103.12,104.94,"584,761"
12/22/2022,104.57,104.8,102.58,103.97,"552,465"
12/23/2022,103.86,104.67,103.56,104.46,"363,681"
12/27/2022,104.56,105.16,104.22,104.65,"384,213"
12/28/2022,104.66,105.54,103.56,103.77,"540,066"
12/29/2022,103.68,104.95,103.68,104.19,"349,839"
12/30/2022,104.28,104.82,103.42,104.52,"470,537"
