Date,Open,High,Low,Close,Volume
9/14/2021,145.48,145.88,143.92,144.3,"5,511,250"
9/15/2021,144.07,144.75,143.79,144.55,"4,949,986"
9/16/2021,144.44,145.31,143.69,145.03,"6,142,756"
9/17/2021,144.14,146.16,144.02,144.73,"24,346,373"
9/20/2021,143.5,145.19,141.62,142.74,"8,351,467"
9/21/2021,142.7,144.58,142.67,143.02,"5,812,490"
9/22/2021,143.47,143.6,142.29,142.69,"5,014,843"
9/23/2021,143.22,143.63,142.45,142.77,"5,195,140"
9/24/2021,142.5,143.69,142.49,143.17,"4,453,540"
9/27/2021,142.87,143.55,141.84,142.25,"7,083,554"
9/28/2021,141.88,142.07,139.99,140.5,"6,860,254"
9/29/2021,140.65,141.83,140.32,140.44,"7,125,163"
9/30/2021,140.64,141.73,139.25,139.38,"7,490,235"
10/1/2021,139.26,139.63,135.92,137.05,"10,004,847"
10/4/2021,137.09,138.23,134.71,135.73,"9,990,084"
10/5/2021,135.95,137.71,135.9,136.62,"6,865,805"
10/6/2021,136.24,137.79,136.13,137.62,"6,458,888"
10/7/2021,138.78,140.7,138.76,139.24,"7,022,709"
10/8/2021,139.66,140.09,139.01,139.66,"4,615,761"
10/11/2021,139.52,140.78,139.44,139.53,"4,349,427"
10/12/2021,139.34,140.41,139.07,139.38,"5,263,099"
10/13/2021,139.5,140.01,138.13,138.37,"5,981,501"
10/14/2021,138.5,140.07,138.5,139.87,"6,597,204"
10/15/2021,140.62,141.1,139.96,140.55,"6,912,387"
10/18/2021,140,142.01,139.83,141.68,"6,628,966"
10/19/2021,144.63,145.61,143.66,144.69,"11,148,099"
10/20/2021,144.89,146.49,144.89,146,"5,817,866"
10/21/2021,146.58,146.92,145.81,146.81,"4,651,463"
10/22/2021,147.1,149.69,147.1,148.34,"7,065,242"
10/25/2021,148.78,150.52,148.01,150.06,"6,429,329"
10/26/2021,150,150.55,148.46,148.75,"5,806,238"
10/27/2021,148.96,149.02,147.39,147.53,"4,855,225"
10/28/2021,148.34,148.98,147.71,148.45,"4,199,471"
10/29/2021,147.91,150.1,147.56,149.42,"7,340,928"
11/1/2021,149.98,150.75,149.35,149.79,"4,183,158"
11/2/2021,149.97,150.18,149.28,149.72,"4,546,347"
11/3/2021,149.6,150.29,149.03,150.18,"4,736,531"
11/4/2021,150.18,151.85,149.83,151.28,"5,049,739"
11/5/2021,152,152,149.62,150.23,"5,027,294"
11/8/2021,150.22,150.51,148.73,149.27,"5,124,422"
11/9/2021,149.52,149.87,148.87,149.79,"5,000,591"
11/10/2021,148.73,149.62,147.98,148.44,"5,601,211"
11/11/2021,148.77,148.99,148.19,148.5,"4,534,383"
11/12/2021,149,149.24,147.54,147.76,"6,104,559"
11/15/2021,148.15,148.45,146.4,146.91,"9,631,988"
11/16/2021,145.1,146.68,142.3,143.17,"24,662,231"
11/17/2021,143.16,144.72,141.82,141.94,"11,038,738"
11/18/2021,142.14,143.29,140.86,143.16,"8,135,824"
11/19/2021,143.62,144,141.94,142.39,"9,380,728"
11/22/2021,142.66,145.36,142,144.78,"9,716,788"
11/23/2021,144.25,145.98,143.25,145.81,"9,972,448"
11/24/2021,145.73,147.06,145.64,146.54,"6,029,780"
11/26/2021,146.44,147.88,144.42,144.9,"7,013,238"
11/29/2021,145,145.25,142.23,142.63,"11,013,172"
11/30/2021,141.48,142.5,140.01,140.63,"21,606,348"
